"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2014";"2015";"2016";"2017";"2018";"2019" 
"28630270 Rådighedspuljer "; 910,2; 65,0; 65,7; 65,7; 65,7; 65,7
"28630272 Pulje til overkørsler "; 40,6; 56,7; 58,4; 58,9; 59,9; 0,0
"28630274 Transportpuljeprojekter "; 59,7; 31,8; 49,2; 0,0; 0,0; 0,0
"28630276 Investeringstilskud, Togfonden DK "; 0,0; 38,5; 15,2; 11,1; 0,0; 0,0
"28630278 Forbedring af den kollektive trafik "; 38,5; 0,0; 0,0; 0,0; 0,0; 0,0
"286304 Banedanmark - drift af jernbanenettet "; 366,3; 380,9; 386,7; 385,8; 374,1; 365,8
"28630410 Drift af jernbanenettet "; 311,5; 303,9; 309,2; 308,2; 296,4; 288,1
"28630420 Vejrafhængige aktiviteter "; 54,8; 77,0; 77,5; 77,6; 77,7; 77,7
"286305 Banedk. - forny. og vedl.hold. af jernb.net "; 1838,0; 2239,0; 2119,9; 1892,5; 2272,7; 2969,4
"28630510 Fornyelse og vedligehold "; 1838,0; 2239,0; 2119,9; 1892,5; 2272,7; 2969,4
"286306 Baneafgifter mv. "; 464,7; 250,1; -38,8; -59,0; -79,1; -99,3
"28630610 Baneafgifter "; -675,4; -701,5; -744,0; -744,0; -744,0; -744,0
"28630620 Godstogenens togkilometerafgift "; 3,1; 0,0; 0,0; 0,0; 0,0; 0,0
"28630630 Faste forbindelser "; 1137,1; 951,6; 705,2; 685,0; 664,9; 644,7
"286307 Banedanmarks tilskudspulje "; 3,0; 34,0; 5,3; 5,2; 5,2; 0,0
"28630710 Tilskud til baneprojekter "; 3,0; 34,0; 5,3; 5,2; 5,2; 0,0
"286308 Anlægsprojekter på jernbanen "; 3123,0; 4035,2; 3188,7; 4846,6; 3239,5; 1744,5
"28630810 Aftaler om en grøn transportpolitik "; 3123,0; 3776,0; 2861,7; 4453,5; 2992,4; 1703,0
"28630820 Øvrige projekter "; 0,0; 161,0; 69,7; 114,1; 156,0; 0,0
"28630830 Aftale om Togfonden DK "; 0,0; 63,9; 234,1; 212,6; 91,1; 41,5
"28630831 Pulje til forlodsovertagelser Togfonden DK "; 0,0; 20,0; 0,0; 0,0; 0,0; 0,0
"28630840 Aftaler om kollektiv trafik "; 0,0; 14,3; 23,2; 66,4; 0,0; 0,0
"286320 Togfonden DK "; 0,0; 15,3; 0,0; 877,3; 1790,9; 2488,9
"28632010 Togfonden DK - Reserver "; 0,0; 15,3; 0,0; 877,3; 1790,9; 2488,9
"2864 Vejdirektoratet, baneområdet "; 19,0; 100,0; 40,8; 0,0; 0,0; 0,0
"286411 Forberedelse af togfondsprojekter, Vejdirekto "; 19,0; 100,0; 40,8; 0,0; 0,0; 0,0
"28641131 Forberedelse af anlægsprojekter, togfonden "; 19,0; 100,0; 40,8; 0,0; 0,0; 0,0
"287 Bygninger "; -616,7; -526,2; -529,3; -592,0; -628,0; -631,0
"2871 Fællesudgifter "; 17,3; 18,8; 16,4; 16,0; 15,7; 15,4
"287101 Bygningsstyrelsen "; 17,3; 18,8; 16,4; 16,0; 15,7; 15,4
"28710110 Almindelig virksomhed "; 17,3; 18,8; 16,4; 16,0; 15,7; 15,4
"28710120 Adm. af uddannelses- og forskningsbygninger "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"2872 Kontorbygninger mv. "; -209,8; -76,3; -107,9; -135,5; -138,1; -140,6
"287201 Ejendomsvirksomhed vedr. kontorbygninger mv. "; -204,7; -75,7; -111,0; -138,7; -140,8; -142,9
"28720110 Almindelig virksomhed "; -204,7; -101,0; -136,5; -138,7; -140,8; -142,9
"28720160 Fremrykket vedligeh. med energioptimering "; 0,0; 25,3; 25,5; 0,0; 0,0; 0,0
"287202 Udvikling og opretning af Christianiaområdet "; -4,6; 0,4; 0,5; 0,5; 0,5; 0,5
"28720210 Udvikling og opretning af Christianiaområdet "; -4,6; 0,4; 0,5; 0,5; 0,5; 0,5
"287203 Vedligeh. og drift af Christianiaområdet "; -0,5; -1,0; -1,4; -1,3; -1,3; -1,3
"28720310 Brugsafgift for Christiania "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"28720320 Lejeindtægter for Christiania "; -0,5; -1,0; -1,4; -1,3; -1,3; -1,3
"287204 Etablering af nye arkiver til Rigsarkivet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"28720420 Regulering af aktiver og gældsforpligtelse "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"287205 OPP-aftaler som finansiel leasing "; 0,0; 0,0; 4,0; 4,0; 3,5; 3,1
"28720530 Landsarkivet for Nørrejylland i Viborg "; 0,0; 0,0; 2,5; 2,3; 2,1; 1,9
"28720531 Hovedpolitistationen i Holstebro "; 0,0; 0,0; 0,0; 0,4; 0,3; 0,4
"28720532 Vestre Landsret i Viborg "; 0,0; 0,0; 1,5; 1,3; 1,1; 0,8
"28720533 Retten i Svendborg "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"28720534 Kalvebod Brygge "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"2873 Uddannelses- og forskningsbygninger "; -424,2; -468,7; -437,8; -472,5; -505,6; -505,8
"287301 Ej.virksomhed uddannelses- og forskningsbygn. "; -463,6; -477,9; -446,8; -481,3; -514,3; -514,3
"28730110 Almindelig virksomhed "; -701,5; -1737,5; -1887,9; -1817,4; -1719,8; -1722,1
"28730140 Finansiering "; 0,0; 994,0; 1031,6; 1145,6; 1205,5; 1207,8
"28730150 Modernisering af laboratorielokaler "; 237,9; 240,3; 342,0; 157,5; 0,0; 0,0
"28730160 Fremrykket vedligeh. med energioptimering "; 0,0; 25,3; 25,5; 0,0; 0,0; 0,0
"28730161 PCB-renovering af bygninger "; 0,0; 0,0; 42,0; 33,0; 0,0; 0,0
"287302 Bygherreforpligtelser "; 14,7; 9,2; 9,0; 8,8; 8,7; 8,5
"28730213 Kunstnerisk udsmykning "; 12,1; 6,7; 6,5; 6,4; 6,3; 6,2
"28730215 Udvikling og forsøgsbyggeri "; 2,5; 2,4; 2,4; 2,3; 2,3; 2,2
"28730231 Regensen, Bygnings- og brandforsikring "; 0,2; 0,1; 0,1; 0,1; 0,1; 0,1
"287303 Særlige anlægsopgaver "; 48,5; 0,0; 0,0; 0,0; 0,0; 0,0
"28730350 Teknologisk løft af laboratorielokaler "; 48,5; 0,0; 0,0; 0,0; 0,0; 0,0
"287304 Udlån vedr. ejendomme "; -23,7; 0,0; 0,0; 0,0; 0,0; 0,0
"28730420 Voldgade, Sønderborg "; -23,7; 0,0; 0,0; 0,0; 0,0; 0,0
"29 Energi-, Forsynings- og Klimaministeriet "; 1240,0; 2485,3; 2201,9; 2807,8; 2792,0; 3072,3
"291 Fællesudgifter "; 96,6; 100,0; 98,8; 93,9; 92,5; 90,8
"2911 Centralstyrelsen "; 96,6; 100,0; 98,8; 93,9; 92,5; 90,8
"291101 Departementet "; 91,1; 94,4; 93,2; 88,3; 86,9; 85,2
"29110110 Almindelig virksomhed "; 91,1; 94,4; 93,2; 88,3; 86,9; 85,2
"29110197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"291103 Sinks "; 5,5; 5,6; 5,6; 5,6; 5,6; 5,6
"29110310 Sinks "; 5,5; 5,6; 5,6; 5,6; 5,6; 5,6
"292 Energi og forsyning "; 643,8; 1846,8; 1552,8; 2171,1; 2176,4; 2470,0
"2921 Fællesudgifter "; -54,4; -164,8; -311,8; -530,9; -592,7; -489,7
"292101 Energistyrelsen "; 308,6; 353,2; 301,6; 280,4; 265,4; 260,6
"29210110 Almindelig virksomhed "; 289,6; 333,9; 294,5; 279,3; 264,3; 259,5
"29210115 Sanktionssystemet mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"29210125 BedreBolig "; 15,0; 5,1; 5,0; 0,0; 0,0; 0,0
"29210126 Lokal rådgivning vedr. energibesparelser "; 0,0; 5,0; 0,0; 0,0; 0,0; 0,0
"29210127 Oplysning om omstilling af energisystemet "; 0,0; 5,0; 1,0; 0,0; 0,0; 0,0
"29210130 Permanente råd, udvalg, nævn mv. "; 0,1; 0,1; 0,0; 0,0; 0,0; 0,0
"29210140 IRENA "; 0,9; 1,1; 1,1; 1,1; 1,1; 1,1
"29210150 Samsø Energiakademi "; 2,5; 2,5; 0,0; 0,0; 0,0; 0,0
"29210160 CO2-beregner "; 0,5; 0,5; 0,0; 0,0; 0,0; 0,0
"29210190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"29210197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"292102 Energitilsynet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"29210210 Energitilsynet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"292104 Salg af CO2-kvoter "; -358,5; -527,0; -622,4; -820,3; -867,1; -759,1
"29210430 Salg af CO2-kvoter 2013-2020 "; -358,5; -527,0; -622,4; -820,3; -867,1; -759,1
"292106 Salg af CO2-kreditter "; -4,5; 0,0; 0,0; 0,0; 0,0; 0,0
"29210610 Salg af CO2 kreditter (Grønland) "; -4,5; 0,0; 0,0; 0,0; 0,0; 0,0
"292107 Klimarådet "; 0,0; 9,0; 9,0; 9,0; 9,0; 8,8
"29210710 Klimarådet "; 0,0; 9,0; 9,0; 9,0; 9,0; 8,8
"2922 Forskning og udvikling "; 382,9; 385,7; 57,4; 57,5; 57,5; 57,5
"292201 Tilskud til energiforskning "; 373,3; 385,7; 57,4; 57,5; 57,5; 57,5
"29220110 Udbygn. af dansk energiforsk. og udvikling "; 364,1; 375,3; 52,6; 52,7; 52,7; 52,7
"29220120 Typegodk. og kva.sikr. af vedvar. energitekno"; 3,7; 4,8; 4,8; 4,8; 4,8; 4,8
"29220130 Fremme af nye energiteknologier "; 5,5; 5,6; 0,0; 0,0; 0,0; 0,0
"292202 Green Labs DK "; 9,6; 0,0; 0,0; 0,0; 0,0; 0,0
"29220210 Green Labs DK "; 9,6; 0,0; 0,0; 0,0; 0,0; 0,0
"2923 Efterforskning og indvinding af energi m.m. "; -7,5; -7,7; -6,3; -6,9; -6,9; -6,9
"292301 Koncessionsafgifter mv. "; -0,5; 0,0; 0,0; 0,0; 0,0; 0,0
"29230110 Koncessionsafgifter mv. "; -0,5; 0,0; 0,0; 0,0; 0,0; 0,0
"292302 Olierørledningsafgift mv. "; 0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"29230210 Olierørledningsafgift mv. "; 0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"29230220 Dispensationsafgift "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"292303 Gebyrindtægter i forbindelse med udbudsrunder "; -0,8; -1,3; -0,3; -0,9; -0,9; -0,9
"29230310 Gebyrindtægter i forbindelse med udbudsrunder"; -0,8; -1,3; -0,3; -0,9; -0,9; -0,9
"292306 Koncessionsafgift fra Akzo Nobel Salt A/S "; -6,3; -6,4; -6,0; -6,0; -6,0; -6,0
"29230610 Koncessionsafgift fra Akzo Nobel A/S "; -6,3; -6,4; -6,0; -6,0; -6,0; -6,0
"2924 Udnyt. af vedvar. energi og energibespar. "; 664,1; 680,4; 548,0; 551,7; 501,8; 499,6
"292401 Vedvarende energi "; 4,2; 4,2; 0,0; 0,0; 0,0; 0,0
"29240120 Nordisk Folkecenter for Vedvarende Energi "; 4,2; 4,2; 0,0; 0,0; 0,0; 0,0
"292408 Forsøgsordning for elbiler "; 5,0; 5,1; 0,0; 0,0; 0,0; 0,0
"29240810 Forsøgsordning for elbiler "; 5,0; 5,1; 0,0; 0,0; 0,0; 0,0
"292413 Videncenter for energibesparelser i bygninger "; 5,0; 5,2; 0,0; 0,0; 0,0; 0,0
"29241310 Videncenter for energibesparelser i bygninger"; 5,0; 5,2; 0,0; 0,0; 0,0; 0,0
"292414 Infrastruktur til transport "; 22,7; 22,9; 0,0; 0,0; 0,0; 0,0
"29241410 Infrastruktur til transport "; 22,7; 22,9; 0,0; 0,0; 0,0; 0,0
"292415 partnerskabssamarbejde med kommuner "; 8,6; 10,0; 0,0; 0,0; 0,0; 0,0
"29241510 partnerskabssamarbejde med kommuner "; 8,6; 10,0; 0,0; 0,0; 0,0; 0,0
"292416 Geotermi og store varmepumper "; 6,3; 10,1; 0,0; 0,0; 0,0; 0,0
"29241610 Geotermi og store varmepumper "; 6,3; 10,1; 0,0; 0,0; 0,0; 0,0
"292417 Bølgekraftprojekter "; 10,2; 12,2; 0,0; 0,0; 0,0; 0,0
"29241710 Bølgekraftprojekter "; 10,2; 12,2; 0,0; 0,0; 0,0; 0,0
"292418 Energieffektiviseringsindsats "; 16,3; 25,1; 4,8; 5,1; 5,1; 5,1
"29241810 Energieffektiviseringsindsats "; 16,3; 25,1; 4,8; 5,1; 5,1; 5,1
"292419 Vedvarende energi til proces "; 585,8; 340,6; 415,5; 415,5; 365,5; 365,5
"29241910 Vedvarende energi til proces "; 585,8; 340,6; 415,5; 415,5; 365,5; 365,5
"292420 Industriel kraftvarme "; 0,0; 153,4; 60,2; 60,3; 60,2; 60,3
"29242010 Industriel kraftvarme "; 0,0; 153,4; 60,2; 60,3; 60,2; 60,3
"292421 Biogas (til transport og proces) "; 0,0; 44,9; 67,5; 70,8; 71,0; 68,7
"29242110 Biogas (til transport og proces) "; 0,0; 44,9; 67,5; 70,8; 71,0; 68,7
"292423 Store varmepumper til fjernvarme "; 0,0; 26,7; 0,0; 0,0; 0,0; 0,0
"29242310 Pilotprojekt vedr. varmepumper "; 0,0; 26,7; 0,0; 0,0; 0,0; 0,0
"292424 National ordning for geotermi "; 0,0; 20,0; 0,0; 0,0; 0,0; 0,0
"29242410 National ordning for geotermi "; 0,0; 20,0; 0,0; 0,0; 0,0; 0,0
"2925 Tilskud til begrænsning af kuldioxid (CO2) "; 6,1; 1254,6; 1554,9; 2392,1; 2509,2; 2601,8
"292502 Kuldioxidafgift "; 8,4; 1,0; 0,0; 0,0; 0,0; 0,0
"29250220 Tilsk. t. dækn. af udg. t. kuldioxiafgifter "; 8,4; 1,0; 0,0; 0,0; 0,0; 0,0
"292503 Energibesparelser i erhvervsvirksomheder "; 0,0; 10,1; 10,2; 0,0; 0,0; 0,0
"29250310 Tilsk. t. energibespar. i erhvervsvirksomhed "; 0,0; 10,1; 10,2; 0,0; 0,0; 0,0
"292505 Elproduktionstilskud "; -2,4; 0,0; 0,0; 0,0; 0,0; 0,0
"29250510 Elproduktionstilskud "; -2,4; 0,0; 0,0; 0,0; 0,0; 0,0
"292508 Målrettet lempelse af PSO "; 0,0; 181,2; 182,5; 182,5; 182,5; 182,5
"29250810 Målrettet lempelse af PSO "; 0,0; 181,2; 182,5; 182,5; 182,5; 182,5
"292509 Tilskud til biogas "; 0,0; 143,1; 402,3; 483,7; 591,9; 675,6
"29250910 Tilskud til biogas "; 0,0; 143,1; 402,3; 483,7; 591,9; 675,6
"292510 Udgifter til el-PSO "; 0,0; 881,0; 898,9; 1563,8; 1572,7; 1581,6
"29251010 Udgifter til el-PSO "; 0,0; 881,0; 898,9; 1563,8; 1572,7; 1581,6
"292511 Reserve til yderligere PSO-lempelser mv. "; 0,0; 0,0; 0,0; 101,1; 101,1; 101,1
"29251110 Reserve til yderligere PSO-lempelser mv "; 0,0; 0,0; 0,0; 101,1; 101,1; 101,1
"292579 Energireserve "; 0,0; 38,2; 61,0; 61,0; 61,0; 61,0
"29257920 Energistrategi 2050 mv. "; 0,0; 0,0; 61,0; 61,0; 61,0; 61,0
"29257930 Pulje til klimatiltag "; 0,0; 38,2; 0,0; 0,0; 0,0; 0,0
"2927 International miljøstøtte "; -62,0; 16,5; 16,6; 16,6; 16,6; 16,6
"292701 Miljøstøtte til Østeuropa og CO2-kreditter "; -13,4; 0,0; 0,0; 0,0; 0,0; 0,0
"29270120 CO2-kreditter i Østeuropa "; -13,4; 0,0; 0,0; 0,0; 0,0; 0,0
"292702 Klimastøtte til Arktis mv. "; 16,4; 16,5; 16,6; 16,6; 16,6; 16,6
"29270210 Miljøstøtte til Arktis "; 16,4; 16,5; 16,6; 16,6; 16,6; 16,6
"292703 Klimaprojekter i udviklingslande "; -65,0; 0,0; 0,0; 0,0; 0,0; 0,0
"29270310 CO2-kreditter i udviklingslande "; -65,0; 0,0; 0,0; 0,0; 0,0; 0,0
"2929 Tele "; -285,4; -317,9; -306,0; -309,0; -309,1; -208,9
"292901 Teleklagenævnet "; 4,5; 4,5; 4,0; 4,0; 3,9; 3,8
"29290110 Teleklagenævnet "; 4,5; 4,5; 4,0; 4,0; 3,9; 3,8
"292902 Frekvensauktioner "; -214,2; -214,2; -174,2; -174,2; -174,2; -73,9
"29290210 3G-auktion "; -40,0; -40,0; 0,0; 0,0; 0,0; 0,0
"29290220 2,5 GHz-auktion "; -174,2; -100,3; -100,3; -100,3; -100,3; 0,0
"29290230 Auktionsprovenu "; 0,0; 0,0; -73,9; -73,9; -73,9; -73,9
"29290240 800 MHz-auktion "; 0,0; -73,9; 0,0; 0,0; 0,0; 0,0
"292903 Frekvens- og nummerafgifter "; -168,1; -169,4; -170,0; -170,0; -170,0; -170,0
"29290310 Frekvens- og nummerafgifter "; -168,1; -169,4; -170,0; -170,0; -170,0; -170,0
"292904 Bredbåndsdækning og digitalinfrastruktur mv. "; 30,0; 30,3; 0,0; 0,0; 0,0; 0,0
"29290410 Pulje til bedre bredbåndsdækning på Bornholm "; 30,0; 30,3; 0,0; 0,0; 0,0; 0,0
"292905 Maritim nød- og sikkerhedstjeneste "; 62,4; 30,9; 34,2; 31,2; 31,2; 31,2
"29290510 Nød- og sikkerhedstjenester i Grønland "; 62,4; 30,9; 34,2; 31,2; 31,2; 31,2
"293 Meteorologi "; 172,1; 186,8; 200,2; 209,9; 211,1; 208,3
"2931 Meteorologi "; 172,1; 186,8; 200,2; 209,9; 211,1; 208,3
"293101 Danmarks Meteorologiske Institut "; 142,2; 140,4; 138,7; 136,9; 133,6; 130,9
"29310110 Almindelig virksomhed "; 142,2; 140,4; 138,6; 136,7; 133,5; 130,8
"29310120 ICAO-aktiviteter i Grønland "; 0,0; 0,0; 0,1; 0,2; 0,1; 0,1
"29310190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"29310195 Tilskudsfinansieret forskningsvirksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"29310197 Tilskudsfinansieret virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"293102 Tilskud til internationale organisationer "; 35,9; 53,0; 68,1; 79,6; 84,1; 84,0
"29310210 Den meteorologiske verdensorganisation, WMO "; 2,7; 2,3; 3,3; 3,3; 3,3; 3,3
"29310220 Det europ. meteorolog. regnecenter, ECMWF "; 7,2; 6,6; 7,7; 7,9; 8,1; 8,3
"29310230 Den europ. meteorolog. satel.org. EUMETSAT "; 26,0; 44,0; 57,0; 68,3; 72,6; 72,3
"29310250 Group on Earth Observations, GEO "; 0,0; 0,1; 0,1; 0,1; 0,1; 0,1
"293103 ICAO-aktiviteter i Grønland "; 0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"29310310 Almindelig virksomhed "; 0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"293104 Danmarks Meteorologiske Institut, indtægter "; -6,5; -6,6; -6,6; -6,6; -6,6; -6,6
"29310410 Almindelig virksomhed "; -6,5; -6,6; -6,6; -6,6; -6,6; -6,6
"293106 ICAO-aktiviteter i Grønland "; 0,4; 0,0; 0,0; 0,0; 0,0; 0,0
"29310610 ICAO-finansierede aktiviteter i Grønland "; 0,4; 0,0; 0,0; 0,0; 0,0; 0,0
"294 Geologisk forskning og undersøgelser "; 134,2; 132,8; 130,3; 119,1; 116,1; 113,8
"2941 Geologisk forskning og undersøgelser "; 134,2; 132,8; 130,3; 119,1; 116,1; 113,8
"294101 GEUS "; 134,2; 132,8; 130,3; 119,1; 116,1; 113,8
"29410110 Driftsbudget "; 134,2; 132,8; 130,3; 119,1; 116,1; 113,8
"296 Kort og geodata "; 193,3; 218,9; 219,8; 213,8; 195,9; 189,4
"2961 Kort og geodata "; 193,3; 218,9; 219,8; 213,8; 195,9; 189,4
"296101 Geodatastyrelsen "; 218,3; 240,4; 246,9; 241,1; 223,6; 217,5
"29610110 Driftsbudget "; 218,3; 232,6; 226,4; 215,1; 202,3; 196,5
"29610130 Datafordeler "; 0,0; 7,8; 20,5; 26,0; 21,3; 21,0
"296102 Udstykningsafgift "; -25,1; -21,5; -27,1; -27,3; -27,7; -28,1
"29610210 Udstykningsafgift, L 1209 2013 "; -25,1; -21,5; -27,1; -27,3; -27,7; -28,1
"35 Generelle reserver "; 9995,2; 12731,6; 17223,9; 16635,4; 16991,2; 18030,5
"351 Reserver mv. "; 9995,2; 12731,6; 17223,9; 16635,4; 16991,2; 18030,5
"3511 Reserver mv. "; 0,0; 3370,8; 7829,1; 7239,3; 7594,4; 8633,6
"351101 Merudgifter ved nye bevillingsforslag "; 0,0; 1000,0; 1000,0; 1000,0; 1000,0; 1000,0
"35110110 Merudgifter ved nye bevillingsforslag "; 0,0; 1000,0; 1000,0; 1000,0; 1000,0; 1000,0
"351102 Forskningsreserve "; 0,0; 0,0; 670,8; 548,6; 1192,2; 2519,6
"35110210 Tværgående forskningsinitiativer "; 0,0; 0,0; 305,0; 0,0; 460,7; 1605,1
"35110220 Forskningsreserve iht. Aftale om reform af fø"; 0,0; 0,0; 365,8; 548,6; 731,5; 914,5
"351103 Reserve til aktivitetsafledte og tekniske ænd "; 0,0; 0,0; 500,0; 500,0; 500,0; 500,0
"35110310 Reserve til aktivitetsafledte og tekniske ænd"; 0,0; 0,0; 500,0; 500,0; 500,0; 500,0
"351104 Satsreguleringspulje "; 0,0; 0,0; 493,9; 862,4; 733,3; 645,0
"35110410 Satsreguleringspulje "; 0,0; 350,0; 493,9; 862,4; 733,3; 645,0
"35110420 Forslag til udmøntning "; 0,0; -350,0; 0,0; 0,0; 0,0; 0,0
"351105 Reserve til aftale om psykiatrien, drift "; 0,0; 0,0; 34,9; 64,8; 64,8; 0,0
"35110510 Reserve til aftale om psykiatrien, drift "; 0,0; 0,0; 34,9; 64,8; 64,8; 0,0
"351108 Reserve til grøn omstilling mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"35110810 Grøn omstilling og beskæftigelse "; 0,0; -55,1; 0,0; 0,0; 0,0; 0,0
"35110820 Reserve til grøn omstilling mv. "; 0,0; 55,1; 0,0; 0,0; 0,0; 0,0
"351109 Midtvejs- og efterreg., kommunalt bloktilskud "; 0,0; 1000,0; 1000,0; 1000,0; 1000,0; 1000,0
"35110910 Midtvejs-og efterregulering kommunale tilskud"; 0,0; 1000,0; 1000,0; 1000,0; 1000,0; 1000,0
"351110 Fonden for Velfærdsteknologi "; 0,0; 86,3; 117,5; 125,3; 3,7; 2,8
"35111010 Fonden for Velfærdsteknologi "; 0,0; 86,3; 117,5; 125,3; 3,7; 2,8
"351114 Reserve til finansloven for 2016 "; 0,0; 0,0; 1700,0; 1700,0; 1700,0; 1700,0
"35111410 Reserve til finansloven for 2016 "; 0,0; 0,0; 1700,0; 1700,0; 1700,0; 1700,0
"351116 Budgetregulering vedr. erhvervsfremmeindsatse "; 0,0; 0,0; -200,0; -500,0; -500,0; -500,0
"35111610 Budgetregulering vedr. erhvervsfremmeindsatse"; 0,0; 0,0; -200,0; -500,0; -500,0; -500,0
"351117 Reserve til det hele Danmark "; 0,0; 0,0; 150,0; 150,0; 150,0; 150,0
"35111710 Reserve til det hele Danmark "; 0,0; 0,0; 150,0; 150,0; 150,0; 150,0
"351118 Reserve til bekæmpelse af ludomani "; 0,0; 34,5; 1,6; 34,5; 34,5; 0,0
"35111810 Reserve til bekæmpelse af ludomani "; 0,0; 34,5; 1,6; 34,5; 34,5; 0,0
"351119 Regeringsinitiativer "; 0,0; 217,3; 300,0; 300,0; 300,0; 300,0
"35111910 Regeringsinitiativer "; 0,0; 217,3; 300,0; 300,0; 300,0; 300,0
"351120 Reserve vedr. reduktion af kom. erhv.ret.sags "; 0,0; 31,2; 40,5; 40,5; 41,8; 0,0
"35112010 Reserve til initiativ vedr. reduktion af komm"; 0,0; 31,2; 40,5; 40,5; 41,8; 0,0
"351121 Ramme til fødevare- og landbrugsinitiativer "; 0,0; 0,0; 75,0; 75,0; 75,0; 75,0
"35112110 Ramme til fødevare- og landbrugsinitiativer "; 0,0; 0,0; 75,0; 75,0; 75,0; 75,0
"351122 Reserve Statens Serum Institut "; 0,0; 100,0; 100,0; 0,0; 0,0; 0,0
"35112210 Reserve til Statens Serum Institut "; 0,0; 100,0; 100,0; 0,0; 0,0; 0,0
"351123 Sundhedsreserve "; 0,0; 450,0; 750,0; 751,2; 751,4; 751,4
"35112310 Sundhedsreserve "; 0,0; 450,0; 750,0; 751,2; 751,4; 751,4
"351125 Nyt skøn for ledighed "; 0,0; 0,0; 88,4; 59,0; 29,5; 0,0
"35112510 Nyt skøn for ledighed "; 0,0; 0,0; 88,4; 59,0; 29,5; 0,0
"351126 Merudgifter ved politiets int. operationer "; 0,0; 28,8; 28,8; 28,8; 28,8; 28,8
"35112620 Merudgifter ved politiets int. operationer "; 0,0; 28,8; 28,8; 28,8; 28,8; 28,8
"351128 Reserve til radiokommunikationssystem "; 0,0; 22,7; 15,0; 0,0; 0,0; 0,0
"35112810 Reserve til radiokommunikationssystem "; 0,0; 22,7; 15,0; 0,0; 0,0; 0,0
"351130 Ændrede skøn mv. for statens indtægter "; 0,0; 0,0; 206,6; 0,0; 0,0; 0,0
"35113010 Udbytte fra Nordsøfonden "; 0,0; 0,0; 206,6; 0,0; 0,0; 0,0
"351134 Reserve til lavere færgetakster for godstrans "; 0,0; 50,0; 48,1; 48,1; 48,1; 48,1
"35113410 Reserve til lavere færgetakster for godstrans"; 0,0; 50,0; 48,1; 48,1; 48,1; 48,1
"351135 Ramme til lempelser for erhvervslivet "; 0,0; 0,0; 208,0; 210,5; 212,9; 212,9
"35113510 Ramme til lempelser for erhvervslivet "; 0,0; 0,0; 208,0; 210,5; 212,9; 212,9
"351145 Reserve vedr. adm. udg. sfa. skatteaftalen "; 0,0; 0,0; 0,0; 40,6; 28,4; 0,0
"35114510 Reserve vedr. adm. udg. sfa. skatteaftale "; 0,0; 0,0; 0,0; 40,6; 28,4; 0,0
"351147 Reserve til EU-bidrag "; 0,0; 0,0; 500,0; 200,0; 200,0; 200,0
"35114710 Reserve til EU-bidrag "; 0,0; 0,0; 500,0; 200,0; 200,0; 200,0
"351148 Reserve til asylområdet "; 0,0; 100,0; 0,0; 0,0; 0,0; 0,0
"35114810 Reserve til asylområdet "; 0,0; 100,0; 0,0; 0,0; 0,0; 0,0
"351149 Reserve til flygtningemodtagelse i kommunerne "; 0,0; 250,0; 0,0; 0,0; 0,0; 0,0
"35114910 Reserve til flygtningemodtagelse i kommunerne"; 0,0; 250,0; 0,0; 0,0; 0,0; 0,0
"3512 Momsrefusion "; 9995,2; 9360,8; 9394,8; 9396,1; 9396,8; 9396,9
"351201 Ikke-fradragsberettiget købsmoms, drift "; 7393,9; 7199,2; 7231,0; 7232,3; 7233,0; 7233,1
"35120110 Ikke-fradragsberettiget købsmoms, drift "; 7393,9; 7199,2; 7231,0; 7232,3; 7233,0; 7233,1
"351202 Ikke-fradragsberettiget købsmoms, anlæg "; 2601,3; 2161,6; 2163,8; 2163,8; 2163,8; 2163,8
"35120210 Ikke-fradragsberettiget købsmoms, anlæg "; 2601,3; 2161,6; 2163,8; 2163,8; 2163,8; 2163,8
"36 Pensionsvæsenet "; 22850,7; 22902,9; 23248,8; 23322,5; 23389,9; 23343,4
